Region,Category,Year,Quarter,Total_Sales,N_Transacciones,Ticket_Promedio,Pct_Participacion_Categoria
Central,Furniture,2015,2015Q1,4584.9580000000005,15,305.6638666666667,53.34608066187444
Central,Furniture,2015,2015Q2,7995.1026,20,399.75513,46.67046438926985
Central,Furniture,2015,2015Q3,9340.2058,22,424.5548090909091,21.219241762415212
Central,Furniture,2015,2015Q4,10894.1012,34,320.41474117647056,32.83612059795111
Central,Furniture,2016,2016Q1,5867.022,16,366.688875,51.83194814951716
Central,Furniture,2016,2016Q2,6713.183,21,319.675380952381,27.995923124031318
Central,Furniture,2016,2016Q3,9166.5642,26,352.56016153846156,37.43664576668362
Central,Furniture,2016,2016Q4,13461.8122,38,354.2582157894737,31.569985508747685
Central,Furniture,2017,2017Q1,8693.421,19,457.54847368421053,44.216843589053816
Central,Furniture,2017,2017Q2,9264.536,30,308.81786666666665,35.965560620144856
Central,Furniture,2017,2017Q3,12293.8482,35,351.2528057142857,38.17261551924704
Central,Furniture,2017,2017Q4,19480.1868,48,405.837225,28.627295348844772
Central,Furniture,2018,2018Q1,10687.3982,29,368.5309724137931,26.69503243514178
Central,Furniture,2018,2018Q2,9153.983,33,277.39342424242426,39.330607626362486
Central,Furniture,2018,2018Q3,7797.059,26,299.88688461538464,24.015457620060594
Central,Furniture,2018,2018Q4,14924.081,58,257.3117413793103,32.54915819858442
Central,Office Supplies,2015,2015Q1,2540.536,48,52.92783333333333,29.559188629513255
Central,Office Supplies,2015,2015Q2,6510.65,60,108.51083333333332,38.00514817358313
Central,Office Supplies,2015,2015Q3,17121.749,72,237.80206944444444,38.89748675841713
Central,Office Supplies,2015,2015Q4,10608.184,114,93.05424561403508,31.97433204946319
Central,Office Supplies,2016,2016Q1,1815.3619999999999,32,56.730062499999995,16.0377358490566
Central,Office Supplies,2016,2016Q2,9480.065999999999,66,143.63736363636363,39.534628945277234
Central,Office Supplies,2016,2016Q3,4067.23,63,64.55920634920635,16.61074372463661
Central,Office Supplies,2016,2016Q4,10033.149,109,92.04723853211009,23.529251770211612
Central,Office Supplies,2017,2017Q1,5977.276,34,175.80223529411765,30.401872632258947
Central,Office Supplies,2017,2017Q2,9124.69,73,124.99575342465754,35.42266891024328
Central,Office Supplies,2017,2017Q3,10227.34,125,81.81872,31.75607110592239
Central,Office Supplies,2017,2017Q4,20268.957,114,177.7978684210526,29.78644016144828
Central,Office Supplies,2018,2018Q1,17110.538,85,201.30044705882352,42.73878060356411
Central,Office Supplies,2018,2018Q2,9430.0,106,88.9622641509434,40.516530336204276
Central,Office Supplies,2018,2018Q3,11068.174,124,89.2594677419355,34.09070825659477
Central,Office Supplies,2018,2018Q4,18206.342,174,104.63414942528736,39.70771171608703
Central,Technology,2015,2015Q1,1469.248,6,244.87466666666668,17.094730708612314
Central,Technology,2015,2015Q2,2625.216,11,238.65599999999998,15.324387437147017
Central,Technology,2015,2015Q3,17555.668,21,835.9841904761905,39.88327147916767
Central,Technology,2015,2015Q4,11674.902,32,364.8406875,35.18954735258569
Central,Technology,2016,2016Q1,3636.9320000000002,16,227.30825000000002,32.13031600142624
Central,Technology,2016,2016Q2,7785.896000000001,25,311.43584000000004,32.469447930691445
Central,Technology,2016,2016Q3,11251.744,17,661.8672941176471,45.95261050867977
Central,Technology,2016,2016Q4,19146.212,45,425.4713777777778,44.90076272104071
Central,Technology,2017,2017Q1,4990.184,15,332.67893333333336,25.38128377868723
Central,Technology,2017,2017Q2,7370.2390000000005,24,307.0932916666667,28.611770469611848
Central,Technology,2017,2017Q3,9684.748,30,322.8249333333333,30.071313374830567
Central,Technology,2017,2017Q4,28298.454,44,643.1466818181818,41.586264489706934
Central,Technology,2018,2018Q1,12237.221,24,509.88420833333333,30.566186961294108
Central,Technology,2018,2018Q2,4690.468,18,260.58155555555555,20.152862037433234
Central,Technology,2018,2018Q3,13601.601999999999,38,357.9368947368421,41.89383412334464
Central,Technology,2018,2018Q4,12720.474,42,302.8684285714286,27.743130085328538
East,Furniture,2015,2015Q1,4141.79,9,460.19888888888886,67.96364236643613
East,Furniture,2015,2015Q2,7035.246,21,335.0117142857143,33.3991212089347
East,Furniture,2015,2015Q3,13412.271,35,383.2077428571429,40.303071652827974
East,Furniture,2015,2015Q4,22244.14,50,444.8828,33.09352186187232
East,Furniture,2016,2016Q1,4306.629,10,430.6629,29.712065490012584
East,Furniture,2016,2016Q2,6224.834,25,248.99336,27.627800068989227
East,Furniture,2016,2016Q3,19608.144,43,456.00334883720933,38.82771036982351
East,Furniture,2016,2016Q4,23670.445,47,503.6264893617021,36.02851438156064
East,Furniture,2017,2017Q1,6988.015,29,240.96603448275863,28.20618076498405
East,Furniture,2017,2017Q2,6690.15,29,230.69482758620688,13.062462847742445
East,Furniture,2017,2017Q3,10277.696,41,250.67551219512194,27.46981758731854
East,Furniture,2017,2017Q4,21008.167,55,381.96667272727274,32.26780238352227
East,Furniture,2018,2018Q1,4566.769,22,207.58040909090911,25.310724674887332
East,Furniture,2018,2018Q2,9997.155999999999,37,270.1934054054054,33.00690344279379
East,Furniture,2018,2018Q3,22663.274,58,390.7461034482759,35.0912006382765
East,Furniture,2018,2018Q4,23626.662,80,295.333275,24.30367363917874
East,Office Supplies,2015,2015Q1,1216.876,29,41.961241379310344,19.968015101755363
East,Office Supplies,2015,2015Q2,6867.456,72,95.38133333333333,32.602555097721655
East,Office Supplies,2015,2015Q3,10798.524,103,104.84003883495146,32.44891834625042
East,Office Supplies,2015,2015Q4,16773.837,103,162.85278640776698,24.95512712413169
East,Office Supplies,2016,2016Q1,5450.161,42,129.7657380952381,37.6014605769646
East,Office Supplies,2016,2016Q2,9547.228000000001,78,122.40035897435898,42.373645047732346
East,Office Supplies,2016,2016Q3,14195.451000000001,129,110.04225581395349,28.10958854632144
East,Office Supplies,2016,2016Q4,10885.989,120,90.71657499999999,16.569439706098084
East,Office Supplies,2017,2017Q1,7953.866,62,128.2881612903226,32.104708157675766
East,Office Supplies,2017,2017Q2,14633.044,134,109.20182089552239,28.5708980515206
East,Office Supplies,2017,2017Q3,19874.817,117,169.87023076923077,53.12062135047948
East,Office Supplies,2017,2017Q4,18588.341,151,123.10159602649007,28.55103512960101
East,Office Supplies,2018,2018Q1,6734.659000000001,66,102.0402878787879,37.325973730716846
East,Office Supplies,2018,2018Q2,11725.5,111,105.63513513513513,38.71325468147927
East,Office Supplies,2018,2018Q3,21528.615999999998,158,136.25706329113922,33.33432687264909
East,Office Supplies,2018,2018Q4,23166.446,192,120.65857291666667,23.83027035150618
East,Technology,2015,2015Q1,735.46,5,147.092,12.068342531808499
East,Technology,2015,2015Q2,7161.463,16,447.5914375,33.99832369334364
East,Technology,2015,2015Q3,9067.738,27,335.8421481481481,27.248010000921617
East,Technology,2015,2015Q4,28198.018,36,783.2782777777778,41.951351013996
East,Technology,2016,2016Q1,4737.756,20,236.88780000000003,32.6864739330228
East,Technology,2016,2016Q2,6758.99,17,397.5876470588235,29.998554883278416
East,Technology,2016,2016Q3,16696.792,41,407.2388292682927,33.06270108385506
East,Technology,2016,2016Q4,31142.764000000003,54,576.717851851852,47.40204591234127
East,Technology,2017,2017Q1,9832.884,27,364.1808888888889,39.689111077340186
East,Technology,2017,2017Q2,29893.411,31,964.3035806451613,58.36663910073696
East,Technology,2017,2017Q3,7261.991,28,259.35682142857144,19.409561062201973
East,Technology,2017,2017Q4,25509.156,41,622.1745365853658,39.181162486876715
East,Technology,2018,2018Q1,6741.394,29,232.46186206896553,37.36330159439582
East,Technology,2018,2018Q2,8565.42,27,317.2377777777778,28.279841875726934
East,Technology,2018,2018Q3,20392.033,58,351.586775862069,31.574472489074413
East,Technology,2018,2018Q4,50421.257,70,720.3036714285714,51.86605600931509
South,Furniture,2015,2015Q1,8350.26,17,491.19176470588235,18.8762105236412
South,Furniture,2015,2015Q2,4150.826,11,377.3478181818182,18.52324336086143
South,Furniture,2015,2015Q3,3725.5765,16,232.84853125,23.617847803704116
South,Furniture,2015,2015Q4,10716.092,20,535.8046,51.13908030618284
South,Furniture,2016,2016Q1,6245.336,7,892.1908571428572,37.97839793053496
South,Furniture,2016,2016Q2,6452.4955,19,339.6050263157895,42.85582304773491
South,Furniture,2016,2016Q3,5365.498,19,282.3946315789473,25.10347731597853
South,Furniture,2016,2016Q4,5781.297,26,222.35757692307692,33.608619967598784
South,Furniture,2017,2017Q1,3019.05,16,188.690625,12.614219679494656
South,Furniture,2017,2017Q2,6212.424,16,388.2765,33.796551681367056
South,Furniture,2017,2017Q3,9342.0745,21,444.8606904761905,43.178619423415654
South,Furniture,2017,2017Q4,9302.325,31,300.07500000000005,31.44324842364197
South,Furniture,2018,2018Q1,1623.63,7,231.94714285714286,11.90154185012339
South,Furniture,2018,2018Q2,12205.5565,35,348.7301857142857,41.621087742851856
South,Furniture,2018,2018Q3,4360.842,20,218.04209999999998,18.620995508253316
South,Furniture,2018,2018Q4,19678.197,45,437.2932666666667,35.27948348255251
South,Office Supplies,2015,2015Q1,3630.055,53,68.4916037735849,8.205933993959032
South,Office Supplies,2015,2015Q2,11494.747,44,261.24424999999997,51.29581342425141
South,Office Supplies,2015,2015Q3,5357.818,48,111.62120833333334,33.96524808548325
South,Office Supplies,2015,2015Q4,5303.178,68,77.98791176470588,25.307700383682974
South,Office Supplies,2016,2016Q1,9641.213,33,292.1579696969697,58.62900312281785
South,Office Supplies,2016,2016Q2,4132.363,43,96.10146511627907,27.44609701734887
South,Office Supplies,2016,2016Q3,6723.3189999999995,57,117.95296491228069,31.456294644893617
South,Office Supplies,2016,2016Q4,9731.69,72,135.16236111111112,56.57358043575369
South,Office Supplies,2017,2017Q1,7227.704,38,190.20273684210525,30.19885263058321
South,Office Supplies,2017,2017Q2,5040.871,63,80.0138253968254,27.423121356591956
South,Office Supplies,2017,2017Q3,5628.319,81,69.48541975308642,26.01381995985788
South,Office Supplies,2017,2017Q4,10740.982,71,151.2814366197183,36.306124043168424
South,Office Supplies,2018,2018Q1,4002.658,37,108.17994594594595,29.34030641139372
South,Office Supplies,2018,2018Q2,9135.985999999999,77,118.64916883116882,31.15381710972917
South,Office Supplies,2018,2018Q3,11341.08,78,145.39846153846153,48.42693217015006
South,Office Supplies,2018,2018Q4,15292.788,120,127.43990000000001,27.417230432654843
South,Technology,2015,2015Q1,32256.636000000002,19,1697.7176842105264,72.91785548239977
South,Technology,2015,2015Q2,6763.17,19,355.9563157894737,30.18094321488715
South,Technology,2015,2015Q3,6691.017000000001,14,477.92978571428574,42.416904110812624
South,Technology,2015,2015Q4,4935.53,15,329.0353333333333,23.553219310134192
South,Technology,2016,2016Q1,557.894,3,185.96466666666666,3.392598946647205
South,Technology,2016,2016Q2,4471.428,17,263.02517647058824,29.698079934916223
South,Technology,2016,2016Q3,9284.708,17,546.159294117647,43.440228039127845
South,Technology,2016,2016Q4,1688.841,17,99.3435882352941,9.817799596647518
South,Technology,2017,2017Q1,13686.95,12,1140.5791666666667,57.18692768992213
South,Technology,2017,2017Q2,7128.533,20,356.42665,38.78032696204099
South,Technology,2017,2017Q3,6665.487,18,370.30483333333336,30.80756061672646
South,Technology,2017,2017Q4,9541.184,24,397.5493333333333,32.25062753318959
South,Technology,2018,2018Q1,8015.894,10,801.5894000000001,58.75815173848289
South,Technology,2018,2018Q2,7983.872,26,307.072,27.225095147418976
South,Technology,2018,2018Q3,7717.03,22,350.7740909090909,32.95207232159663
South,Technology,2018,2018Q4,20807.034,36,577.9731666666667,37.303286084792646
West,Furniture,2015,2015Q1,5223.295,17,307.2526470588235,34.80902467129388
West,Furniture,2015,2015Q2,8821.030999999999,27,326.7048518518518,34.906827274178134
West,Furniture,2015,2015Q3,15284.689,39,391.9151025641026,30.90810674156429
West,Furniture,2015,2015Q4,20558.297,61,337.02126229508195,36.593537608403544
West,Furniture,2016,2016Q1,7177.966,19,377.7876842105263,35.71237165401405
West,Furniture,2016,2016Q2,8001.1075,23,347.8742391304348,30.600609300008706
West,Furniture,2016,2016Q3,14250.849,38,375.02234210526314,44.256254596747524
West,Furniture,2016,2016Q4,21760.685,63,345.40769841269844,39.37691860303414
West,Furniture,2017,2017Q1,5120.47,17,301.20411764705887,21.05714866730148
West,Furniture,2017,2017Q2,18388.079,36,510.7799722222223,46.313772749610024
West,Furniture,2017,2017Q3,19321.6735,49,394.3198673469388,41.285579940629766
West,Furniture,2017,2017Q4,30410.924,75,405.47898666666663,42.44318671963032
West,Furniture,2018,2018Q1,6720.187,27,248.8958148148148,13.296578681709798
