Year,Quarter,Total_Sales,Ventas_Acumuladas
2015,2015Q1,73931.39600000001,73931.39600000001
2015,2015Q2,85874.09360000001,159805.48960000003
2015,2015Q3,142522.6063,302328.0959
2015,2015Q4,177528.1122,479856.20810000005
2016,2016Q1,62357.687,62357.687
2016,2016Q2,87713.373,150071.06
2016,2016Q3,128560.2072,278631.2672
2016,2016Q4,180804.7382,459436.0054
2017,2017Q1,92686.365,92686.365
2017,2017Q2,135061.161,227747.526
2017,2017Q3,138056.3742,365803.9002
2017,2017Q4,234388.6498,600192.55
2018,2018Q1,122260.8842,122260.8842
2018,2018Q2,127558.62,249819.5042
2018,2018Q3,193815.84,443635.3442
2018,2018Q4,278416.675,722052.0192
