Category,Year,Total_Sales,Sales_Prev_Year,YoY_Growth_Pct
Furniture,2015,156477.8811,,
Furniture,2016,164053.8674,156477.8811,4.841570097155405
Furniture,2017,195813.04,164053.8674,19.358990497044523
Furniture,2018,212313.7872,195813.04,8.426786694083287
Office Supplies,2015,149512.82,,
Office Supplies,2016,133124.407,149512.82,-10.961209212694937
Office Supplies,2017,182417.566,133124.407,37.02789000968093
Office Supplies,2018,240367.541,182417.566,31.7677602386165
Technology,2015,173865.507,,
Technology,2016,162257.731,173865.507,-6.676296063715509
Technology,2017,221961.94400000002,162257.731,36.79591267056484
Technology,2018,269370.691,221961.94400000002,21.358952866262502
